driverPattern(1-10),weight
1,1.2
8,0.76
1,1.21
1,1.15
7,0.78
9,0.83
7,0.89
9,0.72
0,1.27
1,1.2
2,1.23
8,0.81
4,1.14
4,1.01
0,1.16
2,1.08
1,1.22
6,0.95
0,1.32
4,1.09
9,0.73
6,0.95
1,1.16
2,1.18
0,1.31
8,0.79
5,0.9
5,0.97
0,1.32
2,1.11
7,0.85
7,0.86
2,1.24
7,0.78
8,0.78
2,1.08
4,0.96
3,1.12
0,1.19
6,0.88
6,0.92
7,0.92
5,1.03
7,0.83
1,1.18
2,1.14
0,1.35
5,0.96
6,0.87
3,1.14
5,1.04
1,1.22
0,1.31
4,0.96
4,0.97
5,1.03
4,0.96
6,0.93
6,0.86
4,0.99
5,1.03
4,1.02
4,0.97
8,0.82
1,1.22
6,0.88
6,0.9
5,0.98
5,0.99
6,0.9
7,0.87
0,1.34
8,0.78
4,0.99
5,0.96
5,1.03
5,1.01
4,0.95
8,0.79
9,0.68
8,0.78
1,1.22
5,0.97
7,0.9
5,1.02
5,1.01
3,1.08
1,1.19
1,1.17
2,1.22
7,0.88
5,0.95
6,0.89
7,0.92
3,1.06
9,0.77
1,1.2
7,0.79
4,1.01
3,1.14
