drivingPattern(1-10),weight
3,1.11
10,0.68
5,1.05
2,1.2
3,1.15
0,1.32
3,1.15
4,1.05
0,1.32
6,0.88
0,1.32
6,0.94
8,0.77
4,0.99
8,0.85
2,1.13
9,0.75
2,1.11
9,0.7
5,1.06
0,1.24
3,1.1
7,0.81
1,1.25
4,1.14
7,0.85
6,0.9
5,0.97
8,0.82
2,1.13
8,0.82
7,0.75
4,0.97
2,1.18
5,1.0
4,1.11
0,1.35
5,0.92
5,0.96
8,0.84
8,0.79
5,1.0
6,0.85
6,0.88
5,0.99
1,1.18
0,1.26
1,1.23
2,1.17
2,1.12
4,0.98
7,0.78
5,1.01
9,0.76
5,0.99
1,1.22
5,0.95
2,1.21
7,0.8
2,1.15
2,1.18
1,1.17
5,0.96
1,1.15
6,0.93
2,1.11
9,0.65
9,0.75
9,0.8
8,0.79
4,0.98
3,1.12
1,1.17
4,0.95
0,1.28
5,0.97
1,1.22
2,1.05
9,0.73
4,0.97
7,0.93
3,1.16
4,0.98
7,0.77
5,1.03
4,1.03
9,0.67
0,1.31
1,1.16
3,1.08
6,0.92
5,1.0
5,0.91
9,0.71
3,1.15
3,1.15
3,1.15
4,1.04
8,0.85
5,0.98
2,1.22
0,1.34
2,1.14
4,0.99
6,0.88
1,1.25
3,1.06
3,1.07
9,0.83
0,1.24
5,0.97
4,1.01
4,1.02
6,0.91
3,1.16
1,1.15
4,1.01
7,0.78
8,0.85
8,0.86
1,1.2
8,0.84
7,0.85
5,0.84
3,1.08
8,0.86
1,1.22
0,1.24
8,0.81
9,0.72
