drivingPattern(1-10),weight
7,0.79
7,0.87
0,1.24
2,1.2
3,1.08
6,0.91
9,0.66
5,0.92
9,0.72
6,0.92
6,0.92
4,1.08
7,0.8
7,0.91
5,1.01
3,1.12
9,0.81
9,0.73
2,1.21
2,1.21
3,1.09
0,1.27
8,0.84
2,1.11
8,0.82
5,0.98
2,1.2
8,0.83
0,1.33
0,1.22
3,1.06
9,0.66
5,0.98
1,1.17
5,0.98
5,1.02
9,0.67
7,0.79
7,0.86
2,1.23
4,0.98
6,0.89
1,1.2
0,1.32
2,1.16
6,0.92
9,0.83
7,0.9
6,0.93
5,1.02
6,0.89
0,1.29
2,1.1
5,1.02
4,0.99
9,0.74
4,1.13
5,0.96
0,1.27
9,0.72
2,1.2
3,1.11
1,1.24
3,1.07
9,0.68
1,1.2
10,0.66
1,1.2
7,0.91
5,0.98
9,0.84
5,1.01
3,1.1
0,1.33
7,0.78
5,1.01
4,0.99
1,1.23
5,1.01
8,0.76
1,1.17
6,0.9
0,1.33
7,0.92
8,0.79
8,0.77
3,1.13
9,0.79
5,1.04
0,1.19
2,1.07
8,0.77
7,0.87
6,0.93
2,1.14
0,1.3
9,0.72
6,0.91
8,0.82
0,1.27
8,0.8
1,1.16
2,1.23
5,1.02
9,0.83
2,1.12
9,0.7
7,0.78
5,1.0
4,1.03
4,1.07
5,0.98
6,0.86
1,1.18
3,1.1
1,1.16
7,0.83
1,1.17
2,1.23
0,1.29
0,1.33
0,1.29
3,1.06
6,0.88
8,0.8
1,1.18
5,1.01
8,0.81
2,1.11
0,1.27
9,0.81
4,0.98
0,1.32
2,1.2
9,0.79
7,0.89
8,0.79
5,1.03
7,0.89
7,0.88
1,1.18
3,1.1
2,1.22
7,0.86
6,0.9
9,0.71
1,1.18
4,0.98
1,1.18
7,0.91
8,0.84
9,0.71
1,1.19
5,0.99
3,1.1
1,1.16
4,1.01
4,0.99
3,1.12
0,1.29
