temperature(c),weight
0,0.94
0,0.93
1,0.93
1,0.9
2,0.89
2,0.89
2,0.88
3,0.82
3,0.86
4,0.87
4,0.82
4,0.85
5,0.81
5,0.83
6,0.82
6,0.8
6,0.8
7,0.8
7,0.74
8,0.78
8,0.81
8,0.75
9,0.73
9,0.76
10,0.75
10,0.72
11,0.68
11,0.75
11,0.73
12,0.76
12,0.73
13,0.72
13,0.7
13,0.72
14,0.76
14,0.72
15,0.71
15,0.69
15,0.71
16,0.72
16,0.74
17,0.71
17,0.72
17,0.7
18,0.75
18,0.74
19,0.72
19,0.72
19,0.77
20,0.72
20,0.76
21,0.77
21,0.71
21,0.77
22,0.8
22,0.75
23,0.76
23,0.78
23,0.79
24,0.77
24,0.8
25,0.83
25,0.77
25,0.84
26,0.84
26,0.85
27,0.84
27,0.84
27,0.84
28,0.84
28,0.85
29,0.9
29,0.86
29,0.89
30,0.92
30,0.92
31,1.0
31,0.97
32,0.98
32,0.99
32,1.04
33,1.0
33,1.04
34,1.06
34,1.03
34,1.07
35,1.06
35,1.1
36,1.13
36,1.17
36,1.2
37,1.13
37,1.15
38,1.19
38,1.19
38,1.22
39,1.22
39,1.31
40,1.26
40,1.31
