vibration(hz),weight
183,0.7
241,0.93
206,0.85
282,1.06
277,0.96
294,1.08
239,0.89
254,1.04
251,1.0
222,0.95
312,1.16
281,1.12
263,1.03
206,0.78
342,1.32
203,0.76
197,0.78
220,0.8
257,1.03
201,0.81
286,1.15
322,1.23
251,1.04
208,0.8
349,1.26
219,0.77
195,0.81
303,1.13
330,1.24
221,0.83
304,1.11
190,0.73
250,0.93
221,0.81
218,0.79
349,1.34
266,0.96
282,1.06
296,1.14
330,1.21
198,0.78
244,0.93
286,1.08
230,0.92
303,1.05
258,0.96
283,1.13
306,1.06
188,0.72
230,0.86
214,0.78
336,1.33
320,1.24
196,0.85
345,1.26
300,1.11
286,1.07
206,0.82
264,0.99
277,1.01
314,1.2
243,0.89
273,0.97
263,0.96
313,1.24
333,1.22
276,1.02
199,0.77
297,1.12
233,0.89
